name,year,selling_price_inr,km_driven,fuel,seller_type,transmission,owner,seats,engine_cc,max_power_bhp
Chevrolet Beat LS,2010.0,135000.0,49700.0,Petrol,Individual,Manual,First Owner,5,1199.0,79.4
Tata Safari Storme VX,2015.0,925000.0,60000.0,Diesel,Individual,Manual,First Owner,7,2179.0,138.1
Mahindra XUV500 AT W10 FWD,2016.0,1275000.0,56000.0,Diesel,Dealer,Automatic,First Owner,7,2179.0,140.0
Toyota Innova 2.5 G (Diesel) 7 Seater,2015.0,950000.0,190000.0,Diesel,Individual,Manual,Second Owner,7,2494.0,100.6
Ford Ecosport 2015-2021 1.5 Petrol Titanium BSIV,2018.0,860000.0,40000.0,Petrol,Individual,Manual,First Owner,5,1497.0,121.31
Fiat Punto EVO 1.3 Dynamic,2016.0,350000.0,51000.0,Diesel,Dealer,Manual,First Owner,5,1248.0,91.7
Volkswagen Ameo 1.5 TDI Highline,2017.0,550000.0,47700.0,Diesel,Individual,Manual,First Owner,5,1498.0,108.62
Volkswagen Polo GT TSI,2015.0,699000.0,30000.0,Petrol,Individual,Automatic,First Owner,5,1197.0,103.6
Volkswagen Tiguan 2.0 TDI Highline,2017.0,2400000.0,80000.0,Diesel,Individual,Automatic,First Owner,5,1968.0,141.0
Maruti Ertiga VXI ABS,2013.0,665000.0,36000.0,Petrol,Dealer,Manual,First Owner,7,1373.0,93.7
Mahindra XUV500 W8 2WD,2013.0,900000.0,85036.0,Diesel,Dealer,Manual,Second Owner,7,2179.0,140.0
Skoda Fabia 1.6 MPI Elegance,2013.0,280000.0,50000.0,Petrol,Individual,Manual,First Owner,5,1598.0,105.0
Ford Figo Diesel ZXI,2013.0,375000.0,45500.0,Diesel,Dealer,Manual,First Owner,5,1399.0,68.05
MG Hector Sharp Diesel MT,2020.0,1825000.0,12500.0,Diesel,Dealer,Manual,First Owner,5,1956.0,167.68
Skoda Rapid 1.5 TDI AT Style BSIV,2018.0,990000.0,60000.0,Diesel,Dealer,Automatic,First Owner,5,1498.0,108.6
Honda City i VTEC SV,2014.0,625000.0,53000.0,Petrol,Dealer,Manual,First Owner,5,1497.0,117.3
Honda Jazz 1.2 V AT i VTEC,2015.0,600000.0,80000.0,Petrol,Individual,Automatic,First Owner,5,1199.0,88.7
Hyundai i20 Asta 1.4 CRDi,2014.0,545000.0,66266.0,Diesel,Dealer,Manual,First Owner,5,1396.0,88.76
Mahindra Scorpio M2DI,2014.0,650000.0,90000.0,Diesel,Individual,Manual,First Owner,5,2179.0,115.0
Maruti Swift AMT DDiS ZDI,2018.0,760000.0,30000.0,Diesel,Dealer,Manual,First Owner,5,1248.0,74.0
Volkswagen CrossPolo 1.5 TDI,2014.0,300000.0,84000.0,Diesel,Individual,Manual,Second Owner,5,1498.0,88.5
Tata Hexa XE,2019.0,1250000.0,15000.0,Diesel,Individual,Manual,First Owner,7,2179.0,147.94
Honda City 1.5 V MT,2010.0,300000.0,100000.0,Petrol,Individual,Manual,Third Owner,5,1497.0,118.0
Datsun RediGO T Option,2017.0,235000.0,22558.0,Petrol,Dealer,Manual,First Owner,5,799.0,53.64
Toyota Etios GD,2015.0,395000.0,160000.0,Diesel,Individual,Manual,First Owner,5,1364.0,67.05
BMW 3 Series 320d Luxury Line,2014.0,2150000.0,69000.0,Diesel,Dealer,Automatic,First Owner,5,1995.0,184.0
Maruti Alto K10 2010-2014 VXI,2010.0,245000.00000000003,78000.0,Petrol,Dealer,Manual,First Owner,5,998.0,67.1
Mahindra Scorpio VLX 2WD BSIII,2012.0,459999.0,70000.0,Diesel,Individual,Manual,First Owner,8,2179.0,120.0
Hyundai i20 2015-2017 Sportz 1.4 CRDi,2017.0,675000.0,34000.0,Diesel,Dealer,Manual,First Owner,5,1396.0,88.73
Hyundai Grand i10 Sportz,2017.0,550000.0,23456.0,Petrol,Dealer,Manual,First Owner,5,1197.0,82.0
Honda Civic 1.8 S MT,2008.0,195000.0,58000.0,Petrol,Dealer,Manual,First Owner,5,1799.0,130.0
Honda WR-V i-VTEC VX,2017.0,819999.0,30000.0,Petrol,Dealer,Manual,First Owner,5,1199.0,88.7
Ford Ecosport 2015-2021 1.5 Petrol Titanium,2017.0,725000.0,14636.0,Petrol,Dealer,Manual,First Owner,5,1496.0,120.69
Maruti Alto K10 Knightracer,2013.0,229999.99999999997,70000.0,Petrol,Individual,Manual,First Owner,5,998.0,67.1
Jeep Compass 1.4 Limited,2019.0,1450000.0,22000.0,Petrol,Dealer,Automatic,First Owner,5,1368.0,160.0
Maruti Vitara Brezza LDi Option,2017.0,670000.0,70000.0,Diesel,Individual,Manual,First Owner,5,1248.0,88.5
Hyundai Santro Xing GLS,2010.0,180000.0,55000.0,Petrol,Individual,Manual,Fourth & Above Owner,5,1086.0,62.1
Mahindra Scorpio 1.99 S10,2015.0,900000.0,120000.0,Diesel,Individual,Manual,First Owner,7,1997.0,120.0
Ford Figo Diesel Titanium,2011.0,225000.0,90000.0,Diesel,Individual,Manual,Second Owner,5,1399.0,68.0
Skoda Rapid 1.5 TDI AT Style BSIV,2017.0,650000.0,130200.0,Diesel,Individual,Automatic,First Owner,5,1498.0,108.6
Mahindra Bolero PLUS AC,2016.0,585000.0,58800.0,Diesel,Dealer,Manual,First Owner,7,2523.0,63.0
Hyundai Creta 1.4 CRDi S,2018.0,1050000.0,70000.0,Diesel,Individual,Manual,First Owner,5,1396.0,88.7
Maruti Swift VXI,2019.0,595000.0,10000.0,Petrol,Individual,Manual,First Owner,5,1197.0,81.8
Hyundai Xcent 1.1 CRDi S,2014.0,400000.0,55000.0,Diesel,Dealer,Manual,First Owner,5,1120.0,71.0
Hyundai i20 Asta Option CVT BSIV,2018.0,790000.0,40000.0,Petrol,Individual,Automatic,First Owner,5,1197.0,81.86
Honda City 2017-2020 VTEC Plus,2007.0,229999.99999999997,77034.0,Petrol,Dealer,Manual,First Owner,5,1497.0,100.0
Audi A6 2.0 TDI,2013.0,1775000.0,68800.0,Diesel,Dealer,Automatic,First Owner,5,1968.0,174.33
Hyundai EON Magna Plus,2014.0,249000.00000000003,34000.0,Petrol,Dealer,Manual,First Owner,5,814.0,55.2
Maruti Wagon R CNG LXI,2014.0,335000.0,83521.0,CNG,Dealer,Manual,First Owner,5,998.0,58.33
Jaguar XF 2.0 Diesel Portfolio,2016.0,3450000.0,20837.0,Diesel,Dealer,Automatic,First Owner,5,1999.0,177.0
Hyundai Verna 1.6 SX,2015.0,685000.0,90000.0,Diesel,Dealer,Manual,First Owner,5,1582.0,126.32
Mahindra XUV500 W4 1.99 mHawk,2015.0,925000.0,57000.0,Diesel,Individual,Manual,First Owner,7,1997.0,140.0
Mercedes-Benz E-Class E250 CDI Avantgarde,2014.0,1998999.9999999998,80000.0,Diesel,Dealer,Automatic,First Owner,5,2143.0,203.0
Chevrolet Beat LT,2015.0,300000.0,49000.0,Petrol,Dealer,Manual,First Owner,5,1199.0,76.8
Volkswagen Vento 1.2 TSI Highline AT,2019.0,1150000.0,10000.0,Petrol,Dealer,Automatic,First Owner,5,1197.0,103.2
Hyundai i20 Sportz Option 1.4 CRDi,2015.0,625000.0,76430.0,Diesel,Dealer,Manual,First Owner,5,1396.0,88.73
Maruti Vitara Brezza VDi,2018.0,745000.0,52000.0,Diesel,Dealer,Manual,First Owner,5,1248.0,88.5
Ford Figo Petrol Titanium,2010.0,229999.0,120000.0,Petrol,Individual,Manual,Third Owner,5,1196.0,70.0
Maruti Eeco 7 Seater Standard BSIV,2018.0,360000.0,59000.0,Petrol,Individual,Manual,First Owner,7,1196.0,73.0
Datsun GO Plus T BSIV,2016.0,320000.0,52000.0,Petrol,Individual,Manual,First Owner,7,1198.0,67.0
Maruti Ritz LDi,2012.0,212000.0,106559.0,Diesel,Dealer,Manual,First Owner,5,1248.0,73.94
Hyundai Grand i10 Nios AMT Sportz,2019.0,650000.0,10000.0,Petrol,Individual,Automatic,First Owner,5,1197.0,81.86
Maruti Alto LX,2004.0,60000.0,113000.0,Petrol,Individual,Manual,Second Owner,5,796.0,46.3
Mahindra XUV500 W7 BSIV,2018.0,1150000.0,29000.0,Diesel,Individual,Manual,First Owner,7,2179.0,152.87
Hyundai Verna CRDi 1.6 SX Option,2017.0,850000.0,35000.0,Diesel,Individual,Manual,Third Owner,5,1582.0,126.2
Honda Jazz 1.2 V i VTEC,2016.0,575000.0,22000.0,Petrol,Dealer,Manual,First Owner,5,1199.0,88.7
Tata Tigor 1.2 Revotron XZ Option,2018.0,600000.0,15000.0,Petrol,Individual,Manual,First Owner,5,1199.0,84.0
BMW 3 Series 320d Sport,2014.0,1600000.0,23746.0,Diesel,Dealer,Automatic,First Owner,5,1995.0,190.0
Toyota Corolla Altis Diesel D4DG,2011.0,365000.0,185000.0,Diesel,Individual,Manual,Second Owner,5,1364.0,87.2
Skoda Rapid Ultima 1.6 TDI Elegance,2013.0,380000.0,90000.0,Diesel,Individual,Manual,Second Owner,5,1598.0,103.5
Tata Indica DLS BSIII,2014.0,120000.0,120000.0,Diesel,Individual,Manual,First Owner,5,1405.0,48.21
Mahindra XUV500 W8 AWD,2012.0,780000.0,120000.0,Diesel,Individual,Manual,First Owner,7,2179.0,140.0
Skoda Rapid 1.6 MPI AT Ambition Plus,2013.0,239000.0,50000.0,Petrol,Individual,Automatic,First Owner,5,1598.0,103.6
Maruti Swift 1.3 VXi,2009.0,198000.0,91000.0,Petrol,Individual,Manual,Second Owner,,,
Nissan Micra Diesel XV,2010.0,100000.0,50000.0,Diesel,Individual,Manual,First Owner,5,1461.0,63.1
Mahindra TUV 300 T8,2016.0,750000.0,59000.0,Diesel,Dealer,Manual,First Owner,7,1493.0,100.0
Skoda Rapid 1.5 TDI AT Ambition,2016.0,675000.0,48000.0,Diesel,Dealer,Automatic,First Owner,5,1498.0,103.52
Skoda Rapid 1.5 TDI Elegance,2014.0,509999.99999999994,76000.0,Diesel,Dealer,Manual,First Owner,5,1498.0,103.52
Hyundai i20 Magna 1.2,2014.0,425000.0,25000.0,Petrol,Individual,Manual,First Owner,5,1197.0,81.83
Maruti Swift Dzire ZDI,2017.0,700000.0,70000.0,Diesel,Individual,Manual,First Owner,5,1248.0,74.02
BMW 3 Series 320d Prestige,2013.0,1155000.0,83000.0,Diesel,Dealer,Automatic,First Owner,5,1995.0,184.0
Honda Mobilio E i VTEC,2015.0,470000.0,40000.0,Petrol,Individual,Manual,First Owner,7,1497.0,117.3
Nissan Terrano XL Plus 85 PS,2015.0,500000.0,60000.0,Diesel,Individual,Manual,First Owner,5,1461.0,83.8
Maruti Swift VXI,2013.0,375000.0,34553.0,Petrol,Dealer,Manual,First Owner,5,1197.0,81.8
Maruti Swift VDI BSIV,2015.0,575000.0,63254.0,Diesel,Dealer,Manual,First Owner,5,1248.0,74.0
Hyundai Santro Xing XL,2009.0,170000.0,45902.0,Petrol,Dealer,Manual,First Owner,5,1086.0,
Honda City i-VTEC CVT VX,2018.0,1150000.0,19000.0,Petrol,Dealer,Automatic,First Owner,5,1497.0,117.6
Maruti Swift Dzire VDi,2009.0,225000.0,120000.0,Diesel,Individual,Manual,Third Owner,5,1248.0,73.9
Maruti Swift VDI BSIV,2017.0,630000.0,80000.0,Diesel,Individual,Manual,First Owner,5,1248.0,74.0
Honda City i DTEC VX,2015.0,700000.0,50000.0,Diesel,Individual,Manual,First Owner,5,1498.0,98.6
Maruti Celerio ZXI AT,2016.0,500000.0,30000.0,Petrol,Individual,Automatic,First Owner,5,998.0,67.04
Volkswagen Vento 1.5 TDI Highline AT,2014.0,411000.0,90000.0,Diesel,Individual,Automatic,Second Owner,5,1498.0,103.2
Maruti Alto 800 LXI,2016.0,295000.0,15000.0,Petrol,Individual,Manual,First Owner,5,796.0,47.3
Mahindra TUV 300 T6 Plus,2017.0,700000.0,54188.0,Diesel,Individual,Manual,First Owner,7,1493.0,100.0
Honda City i VTEC VX,2017.0,950000.0,37000.0,Petrol,Dealer,Manual,First Owner,5,1497.0,117.3
Hyundai Creta 1.6 CRDi SX,2016.0,850000.0,58000.0,Diesel,Individual,Manual,First Owner,5,1582.0,126.2
Mahindra Scorpio S4 7 Seater,2016.0,851000.0,48500.0,Diesel,Dealer,Manual,First Owner,7,2179.0,120.0
Maruti Swift Dzire AMT VXI BS IV,2017.0,623000.0,40000.0,Petrol,Individual,Automatic,First Owner,5,1197.0,81.8
Honda Accord VTi-L MT,2006.0,200000.0,60000.0,Petrol,Individual,Manual,Third Owner,5,2354.0,144.0
Maruti Swift Dzire VDi,2010.0,300000.0,120000.0,Diesel,Individual,Manual,Second Owner,5,1248.0,73.9
Tata Safari Storme EX,2017.0,835000.0,76759.0,Diesel,Dealer,Manual,First Owner,7,2179.0,147.94
Maruti Ciaz 1.4 Alpha,2017.0,850000.0,27000.0,Petrol,Individual,Manual,First Owner,5,1373.0,91.1
Maruti Ertiga SHVS ZDI,2016.0,875000.0,30000.0,Diesel,Individual,Manual,First Owner,7,1248.0,88.5
Toyota Corolla Altis GL MT,2014.0,790000.0,67000.0,Petrol,Dealer,Manual,First Owner,5,1798.0,138.03
Maruti SX4 Zxi BSIII,2009.0,200000.0,110000.0,Petrol,Individual,Manual,Third Owner,5,1586.0,104.68
BMW 5 Series 520d Luxury Line,2014.0,2325000.0,43000.0,Diesel,Dealer,Automatic,First Owner,5,1995.0,190.0
Mahindra Scorpio S3 9 Seater BSIV,2018.0,950000.0,27000.0,Diesel,Individual,Manual,First Owner,7,2523.0,75.0
Maruti Alto K10 VXI,2016.0,250000.0,20000.0,Petrol,Individual,Manual,Second Owner,5,998.0,67.05
Ford Figo 1.2P Titanium MT,2016.0,595000.0,35000.0,Petrol,Dealer,Manual,First Owner,5,1196.0,86.8
Tata Safari 2005-2017 Dicor VX 4X2,2007.0,500000.0,60000.0,Diesel,Individual,Manual,First Owner,7,2179.0,138.1
Renault Duster 110PS Diesel RxZ Pack,2014.0,550000.0,49000.0,Diesel,Individual,Manual,First Owner,5,1461.0,108.45
Mahindra Scorpio 2009-2014 SLE 7S BSIV,2013.0,450000.0,180000.0,Diesel,Individual,Manual,First Owner,7,2179.0,120.0
Land Rover Discovery Sport 2015-2020 SD4 HSE Luxury 7S,2017.0,4650000.0,35000.0,Diesel,Dealer,Automatic,First Owner,7,2179.0,187.7
Hyundai Verna SX CRDi AT,2014.0,690000.0,68000.0,Diesel,Dealer,Automatic,First Owner,5,1582.0,126.32
Mercedes-Benz M-Class ML 250 CDI,2015.0,2845000.0,35500.0,Diesel,Dealer,Automatic,First Owner,5,2143.0,203.2
Volkswagen Passat Diesel Highline 2.0 TDI,2012.0,799000.0,104200.0,Diesel,Dealer,Automatic,First Owner,5,1968.0,167.7
Maruti Baleno Zeta,2018.0,730000.0,33000.0,Petrol,Dealer,Manual,First Owner,5,1197.0,81.8
Honda City i-VTEC VX,2019.0,1060000.0,57000.0,Petrol,Dealer,Manual,First Owner,5,1497.0,117.6
BMW 5 Series 520d Luxury Line,2018.0,4000000.0,23000.0,Diesel,Dealer,Automatic,First Owner,5,1995.0,187.74
Mercedes-Benz CLA 200 CGI Sport,2016.0,2121000.0,63000.0,Petrol,Dealer,Automatic,First Owner,5,1991.0,183.0
Mahindra Bolero 2011-2019 SLE,2012.0,500000.0,40000.0,Diesel,Individual,Manual,First Owner,7,2523.0,62.1
Hyundai Creta 1.6 VTVT E,2016.0,850000.0,35000.0,Petrol,Individual,Manual,First Owner,5,1591.0,121.3
Hyundai Creta 1.6 CRDi SX Option,2017.0,1110000.0,186000.0,Diesel,Individual,Manual,First Owner,5,1582.0,126.2
Skoda Rapid 1.6 TDI Elegance,2011.0,411000.0,64481.0,Diesel,Dealer,Manual,Second Owner,5,1598.0,103.5
Hyundai Santro Xing GL Plus LPG,2011.0,191000.0,70000.0,LPG,Individual,Manual,First Owner,5,1086.0,62.1
Toyota Innova Crysta 2016-2020 2.4 GX AT,2016.0,1490000.0,35500.0,Diesel,Dealer,Automatic,First Owner,7,2393.0,147.51
Maruti Swift Ldi BSIV,2012.0,395000.0,60000.0,Diesel,Dealer,Manual,First Owner,5,1248.0,75.0
Toyota Innova Crysta 2016-2020 2.8 ZX AT BSIV,2019.0,2225000.0,27000.0,Diesel,Dealer,Automatic,First Owner,7,2755.0,171.5
Isuzu MUX 2WD,2019.0,2300000.0,34000.0,Diesel,Dealer,Automatic,First Owner,7,2999.0,174.57
Volkswagen Polo Petrol Comfortline 1.2L,2011.0,450000.0,110000.0,Petrol,Individual,Manual,First Owner,5,1198.0,73.9
Maruti Alto K10 LXI,2011.0,135000.0,110048.0,Petrol,Individual,Manual,Third Owner,5,998.0,67.1
Volkswagen Ameo 1.2 MPI Comfortline,2016.0,550000.0,21866.0,Petrol,Dealer,Manual,First Owner,5,1198.0,73.75
Maruti Wagon R LXI,2005.0,89000.0,90000.0,Petrol,Individual,Manual,Second Owner,5,998.0,67.1
Mercedes-Benz GLE Class 250d,2018.0,5800000.0,30200.0,Diesel,Dealer,Automatic,First Owner,5,2143.0,201.15
Chevrolet Beat Diesel LT,2013.0,190000.0,91737.0,Diesel,Dealer,Manual,First Owner,5,936.0,57.6
Skoda Laura Elegance 2.0 TDI CR MT,2011.0,300000.0,70000.0,Diesel,Individual,Manual,First Owner,5,1968.0,108.5
