company_id,position_role_type,position_id,date,spend,count_started,count_submitted,count_approved,count_reviewed,count_expired,count_withdrawn,count_deactivated,count_position_closed,count_invited_to_interview,count_hired
75621,PRODUCTION,134935318,2022-08-04 00:00:00,0,1,,,,,,,,,
75621,PRODUCTION,3102362893,2022-08-04 00:00:00,0.0039653973,1,1,1,,,,,,,
75621,PRODUCTION,3102362893,2022-08-15 00:00:00,,,,,,1,,,,,
75621,PRODUCTION,7797193831,2022-08-02 00:00:00,0,2,2,2,,,,,,,
75621,PRODUCTION,7797193831,2022-08-12 00:00:00,,,,,,1,,,,,
75621,PRODUCTION,7797193831,2022-08-13 00:00:00,,,,,,1,,,,,
75621,PRODUCTION,8489566925,2022-08-04 00:00:00,,1,1,1,,,,,,,
75621,PRODUCTION,8489566925,2022-08-15 00:00:00,,,,,,1,,,,,
75621,PRODUCTION,295375634,2022-08-02 00:00:00,0.0021474152,2,1,1,,,,,,,
75621,PRODUCTION,295375634,2022-08-12 00:00:00,,,,,,1,,,,,
69615,PRODUCTION,1229148013,2022-08-04 00:00:00,0.0020010005,3,1,,,,,,,,
69615,PRODUCTION,1229148013,2022-08-07 00:00:00,0.0018301834,1,,,,,,,,,
69615,PRODUCTION,1229148013,2022-08-08 00:00:00,0.006905892,1,,,,,,,,,
69615,PRODUCTION,1229148013,2022-08-09 00:00:00,0.0071377152,3,1,,,,,,,,
69615,PRODUCTION,1229148013,2022-08-14 00:00:00,0.0102246245,1,1,1,1,,,,,1,
69615,PRODUCTION,1229148013,2022-08-21 00:00:00,0.0028550861,3,1,,,,,,,,
69615,PRODUCTION,1229148013,2022-08-22 00:00:00,0.0024402445,1,1,1,1,,,,,1,
69615,PRODUCTION,1229148013,2022-08-23 00:00:00,0.0060518064,2,1,1,1,,,,,1,
69615,PRODUCTION,1229148013,2022-08-24 00:00:00,0.0030991105,2,2,1,1,,,,,1,
69615,PRODUCTION,1229148013,2022-08-26 00:00:00,0.0009394941,1,,,,,,,,,
69615,PRODUCTION,1229148013,2022-08-29 00:00:00,0.0015495553,1,,,,,,,,,
69615,PRODUCTION,1229148013,2022-08-30 00:00:00,0.0027818787,2,,,,,,,,,
69615,PRODUCTION,1229148013,2022-08-31 00:00:00,0.000658866,1,,,,,,,,,
69615,PRODUCTION,6002987145,2022-08-04 00:00:00,,1,1,1,,,,,,,
69615,PRODUCTION,6002987145,2022-08-11 00:00:00,0.0015495553,,,,1,,,,,1,
69615,PRODUCTION,6002987145,2022-08-12 00:00:00,0,1,1,1,,,,,,,
69615,PRODUCTION,6002987145,2022-08-14 00:00:00,0.0010493051,1,1,,,,,,,,
69615,PRODUCTION,6002987145,2022-08-15 00:00:00,0.0019521956,1,,,,,,,,,
69615,PRODUCTION,6002987145,2022-08-16 00:00:00,0.0027574763,,,,1,,,,,1,
69615,PRODUCTION,6002987145,2022-08-18 00:00:00,0.00109811,1,,,,,,,,,
69615,PRODUCTION,6002987145,2022-08-21 00:00:00,0.0017813785,1,,,,,,,,,
69615,PRODUCTION,6002987145,2022-08-22 00:00:00,0.0043558365,1,1,1,,,,,,,
69615,PRODUCTION,6002987145,2022-08-24 00:00:00,0.0004514452,1,1,1,1,,,,,1,
69615,PRODUCTION,6002987145,2022-08-25 00:00:00,0.0009760978,,,,1,,,,,1,
69615,PRODUCTION,6002987145,2022-08-29 00:00:00,0.005758977,1,,,,,,,,,
69615,PRODUCTION,6002987145,2022-08-30 00:00:00,0.001756976,1,,,,,,,,,
69615,WAREHOUSE,8049247818,2022-08-01 00:00:00,0.0055271538,2,1,1,,,,,,,
69615,WAREHOUSE,8049247818,2022-08-02 00:00:00,0.0058565868,,,,1,,,,,1,
69615,WAREHOUSE,8049247818,2022-08-03 00:00:00,0.046157225,1,1,1,,,,,,,
69615,WAREHOUSE,8049247818,2022-08-08 00:00:00,0.0112251248,2,1,1,,,,,,,
69615,WAREHOUSE,8049247818,2022-08-11 00:00:00,0.000549055,1,1,1,3,,,,,3,
69615,WAREHOUSE,8049247818,2022-08-12 00:00:00,0.0080162032,1,,,,,,,,,
69615,WAREHOUSE,8049247818,2022-08-14 00:00:00,0.0116399663,1,2,2,,,,,,,
69615,WAREHOUSE,8049247818,2022-08-15 00:00:00,0.023023707,3,,,,,,,,,
69615,WAREHOUSE,8049247818,2022-08-16 00:00:00,0.0238655913,1,1,1,2,,,,,1,
69615,WAREHOUSE,8049247818,2022-08-18 00:00:00,0.0043192328,1,1,1,,,,,,,
69615,WAREHOUSE,8049247818,2022-08-21 00:00:00,0.0049048915,1,,,,,,,,,
69615,WAREHOUSE,8049247818,2022-08-22 00:00:00,0.0160324064,1,1,,2,,,,,1,
69615,WAREHOUSE,8049247818,2022-08-29 00:00:00,,,,,,,,,,,1
69615,SKILLED_TRADE,5691353765,2022-08-08 00:00:00,0,1,,,,,,,,,
69615,SKILLED_TRADE,5691353765,2022-08-25 00:00:00,0.000658866,2,1,,,,,,,,
69615,SKILLED_TRADE,5691353765,2022-08-30 00:00:00,0.0000366037,1,1,1,,,,,,,
69615,SKILLED_TRADE,5691353765,2022-08-31 00:00:00,0,,,,1,,,,,1,
69615,PRODUCTION,4225554605,2022-08-03 00:00:00,0.0016105614,1,1,1,1,,,,,1,
69615,PRODUCTION,4225554605,2022-08-04 00:00:00,0.0009760978,1,,,,,,,,,
69615,PRODUCTION,4225554605,2022-08-08 00:00:00,0.000549055,1,,,,,,,,,
69615,PRODUCTION,4225554605,2022-08-09 00:00:00,0,1,,,,,,,,,
69615,PRODUCTION,4225554605,2022-08-10 00:00:00,0.0003538355,1,1,1,1,,,,,1,
69615,PRODUCTION,4225554605,2022-08-14 00:00:00,0,2,2,2,2,,,,,2,
69615,PRODUCTION,4225554605,2022-08-15 00:00:00,0,1,,,,,,,,,
69615,PRODUCTION,4225554605,2022-08-18 00:00:00,0.001647165,1,1,1,1,,,,,1,
69615,PRODUCTION,4225554605,2022-08-19 00:00:00,0.0015129516,1,1,1,1,,,,,1,
69615,PRODUCTION,4225554605,2022-08-20 00:00:00,0.0005246526,1,1,1,1,,,,,1,
69615,PRODUCTION,4225554605,2022-08-21 00:00:00,0,1,,,,,,,,,
69615,PRODUCTION,4225554605,2022-08-22 00:00:00,0.0005612562,1,1,1,1,,,,,1,
69615,PRODUCTION,4225554605,2022-08-23 00:00:00,0.0004026403,2,2,1,1,,,,,1,
69615,PRODUCTION,4225554605,2022-08-24 00:00:00,0.0014397443,1,,,,,,,,,
69615,PRODUCTION,4225554605,2022-08-25 00:00:00,0.0018545858,1,1,1,1,,,,,1,
69615,PRODUCTION,4225554605,2022-08-28 00:00:00,0.000549055,1,1,,,,,,,,
69615,PRODUCTION,4225554605,2022-08-30 00:00:00,0,2,,,,,,,,,
69615,PRODUCTION,757651318,2022-08-01 00:00:00,0.0053319343,1,,,,,,,,,
69615,PRODUCTION,757651318,2022-08-02 00:00:00,0.0558938006,1,1,1,1,,,,,1,
69615,PRODUCTION,757651318,2022-08-04 00:00:00,0.0060884101,2,,,,,,,,,
69615,PRODUCTION,757651318,2022-08-05 00:00:00,0.0555521663,1,,,,,,,,,
69615,PRODUCTION,757651318,2022-08-07 00:00:00,0.0005856587,2,2,2,2,,,,,2,
69615,PRODUCTION,757651318,2022-08-08 00:00:00,0.0020498054,2,,,,,,,,,
69615,PRODUCTION,757651318,2022-08-09 00:00:00,0.0053807392,1,1,,,,,,,,
69615,PRODUCTION,757651318,2022-08-14 00:00:00,0.0020864091,2,2,2,1,,,,,1,
69615,PRODUCTION,757651318,2022-08-16 00:00:00,0.0083456362,2,1,1,1,,,,,1,
69615,PRODUCTION,757651318,2022-08-17 00:00:00,0.04780439,1,1,1,1,,,,,1,
69615,PRODUCTION,757651318,2022-08-20 00:00:00,0.055369148,1,1,,,,,,,,
69615,PRODUCTION,757651318,2022-08-22 00:00:00,0.0027208726,1,1,1,1,,,,,1,
69615,PRODUCTION,757651318,2022-08-23 00:00:00,0.0559792091,1,1,1,1,,,,,1,
69615,PRODUCTION,757651318,2022-08-24 00:00:00,0.001647165,2,,,,,,,,,
69615,PRODUCTION,757651318,2022-08-25 00:00:00,0.0037579765,1,,,,,,,,,
69615,PRODUCTION,757651318,2022-08-26 00:00:00,0.001756976,2,1,,,,,,,,
69615,PRODUCTION,757651318,2022-08-27 00:00:00,0.0005002501,,,,,1,,,,,
69615,PRODUCTION,757651318,2022-08-29 00:00:00,0.0022694274,1,1,,,,,,,,
69615,PRODUCTION,757651318,2022-08-30 00:00:00,0.002903891,2,1,1,1,,,,,1,
69615,PRODUCTION,757651318,2022-08-31 00:00:00,0.001647165,1,,,,,,,,,
69615,PRODUCTION,757651318,2022-09-05 00:00:00,,,1,1,1,,,,,1,
69615,SKILLED_TRADE,315599055,2022-08-08 00:00:00,0,1,,,,,,,,,
69615,SKILLED_TRADE,315599055,2022-08-12 00:00:00,0,1,1,,,,,,,,
69615,SKILLED_TRADE,315599055,2022-08-18 00:00:00,0.0057223734,1,,,,,,,,,
69615,SKILLED_TRADE,315599055,2022-08-24 00:00:00,0.0045632572,1,,,,,,,,,
69615,SKILLED_TRADE,315599055,2022-08-25 00:00:00,0,1,1,,,,,,,,
69615,SKILLED_TRADE,315599055,2022-08-26 00:00:00,0.0003660367,2,1,1,1,,,,,1,
69615,SKILLED_TRADE,321340341,2022-08-08 00:00:00,0.0549055015,2,,,,,,,,,
69615,SKILLED_TRADE,321340341,2022-08-09 00:00:00,0,1,2,1,,,,,,,
69615,SKILLED_TRADE,321340341,2022-08-10 00:00:00,0,1,,,,,,,,,
69615,SKILLED_TRADE,321340341,2022-08-12 00:00:00,0,1,1,,,,,,,,
69615,SKILLED_TRADE,321340341,2022-08-20 00:00:00,,,,,,1,,,,,
69615,SKILLED_TRADE,321340341,2022-08-23 00:00:00,0,1,1,,,,,,,,
69615,PRODUCTION,6017056510,2022-08-04 00:00:00,0.0010493051,1,,,,,,,,,
69615,PRODUCTION,6017056510,2022-08-08 00:00:00,0.0005124513,1,,,,,,,,,
69615,PRODUCTION,6017056510,2022-08-09 00:00:00,0.0025256531,3,3,2,,,,,,,
69615,PRODUCTION,6017056510,2022-08-11 00:00:00,0,,,,2,,,,,2,
69615,PRODUCTION,6017056510,2022-08-14 00:00:00,0.0042094218,2,1,1,,,,,,,
69615,PRODUCTION,6017056510,2022-08-15 00:00:00,0.0005124513,1,,,,,,,,,
69615,PRODUCTION,6017056510,2022-08-18 00:00:00,0.0010737076,1,,,,,,,,,
69615,PRODUCTION,6017056510,2022-08-21 00:00:00,0.0045998609,2,,,,,,,,,
69615,PRODUCTION,6017056510,2022-08-22 00:00:00,0.0006832685,1,1,1,1,,,,,,
69615,PRODUCTION,6017056510,2022-08-23 00:00:00,0.0008906892,2,1,1,,,,,,,
69615,PRODUCTION,6017056510,2022-08-24 00:00:00,0.0034285435,,,,2,,,,,2,
69615,PRODUCTION,6651538888,2022-08-03 00:00:00,0.0041606169,1,,,,,,,,,
69615,PRODUCTION,6651538888,2022-08-04 00:00:00,0,1,,,,,,,,,
69615,PRODUCTION,6651538888,2022-08-05 00:00:00,0.0005734575,1,,,,,,,,,
69615,PRODUCTION,6651538888,2022-08-09 00:00:00,0.0018545858,1,,,,,,,,,
69615,PRODUCTION,6651538888,2022-08-14 00:00:00,0,2,2,,,,,,,,
69615,PRODUCTION,6651538888,2022-08-15 00:00:00,0.0022816286,2,,,,,,,,,
69615,PRODUCTION,6651538888,2022-08-16 00:00:00,0.0009394941,1,1,,,,,,,,
69615,PRODUCTION,6651538888,2022-08-17 00:00:00,0.0021230127,1,1,1,1,,,,,1,
69615,PRODUCTION,6651538888,2022-08-18 00:00:00,0.0027452751,1,1,,,,,,,,
69615,PRODUCTION,6651538888,2022-08-19 00:00:00,0,1,,,,,,,,,
69615,PRODUCTION,6651538888,2022-08-21 00:00:00,0.0016227626,1,1,1,1,,,,,1,
69615,PRODUCTION,6651538888,2022-08-23 00:00:00,0.0034407448,2,2,1,1,,,,,1,
69615,PRODUCTION,6651538888,2022-08-25 00:00:00,0.0012445247,1,1,,,,,,,,
69615,PRODUCTION,6651538888,2022-08-29 00:00:00,0.0033797386,1,,,,,,,,,
69615,PRODUCTION,6651538888,2022-08-30 00:00:00,0.005209922,2,,,,,,,,,
69615,WAREHOUSE,190018693,2022-08-02 00:00:00,0.0023182323,2,2,2,,,,,,,
69615,WAREHOUSE,190018693,2022-08-04 00:00:00,0,1,,,2,,,,,,
69615,WAREHOUSE,190018693,2022-08-05 00:00:00,0.0011347137,1,,,,,,,,,
69615,WAREHOUSE,190018693,2022-08-07 00:00:00,0.0035505558,1,1,1,,,,,,,
69615,WAREHOUSE,190018693,2022-08-08 00:00:00,0.000219622,,,,,,,,1,,
69615,WAREHOUSE,190018693,2022-08-09 00:00:00,0.0025378543,5,4,3,,,,,,,
69615,WAREHOUSE,190018693,2022-08-12 00:00:00,0.0019887993,2,,,,,,,,,
69615,WAREHOUSE,190018693,2022-08-13 00:00:00,0.0046852695,1,,,,,,,,,
69615,WAREHOUSE,190018693,2022-08-14 00:00:00,0.0015007504,3,2,1,,,,,,,
69615,WAREHOUSE,190018693,2022-08-15 00:00:00,0.003562757,1,1,,,,,,,,
69615,WAREHOUSE,190018693,2022-08-18 00:00:00,,1,,,,,,,,,
69615,WAREHOUSE,190018693,2022-08-19 00:00:00,,,,,,1,,,,,
69615,WAREHOUSE,190018693,2022-08-20 00:00:00,,,,,,2,,,,,
69615,WAREHOUSE,190018693,2022-08-25 00:00:00,,,,,,1,,,,,
69615,SKILLED_TRADE,263336399,2022-08-02 00:00:00,0.000219622,2,,,,,,,,,
69615,SKILLED_TRADE,263336399,2022-08-06 00:00:00,0.0036481655,1,1,,,,,,,,
69615,SKILLED_TRADE,263336399,2022-08-07 00:00:00,0.0007930795,1,1,1,,,,,,,
69615,SKILLED_TRADE,263336399,2022-08-08 00:00:00,0,1,,,,,,,,,
69615,SKILLED_TRADE,263336399,2022-08-10 00:00:00,,1,1,1,,,,,,,
69615,SKILLED_TRADE,263336399,2022-08-18 00:00:00,0,,,,1,1,,,,,
69615,SKILLED_TRADE,263336399,2022-08-21 00:00:00,0.0036359643,1,1,1,,,,,,,
69615,SKILLED_TRADE,263336399,2022-08-22 00:00:00,0.0026354641,1,1,,,,,,,,
69615,SKILLED_TRADE,263336399,2022-08-27 00:00:00,0.0045754585,2,1,,,,,,,,
69615,SKILLED_TRADE,263336399,2022-08-31 00:00:00,0.001647165,,,,,1,,,,,
69615,PRODUCTION,7491588420,2022-08-01 00:00:00,0.0093705389,1,,,,,,,,,
69615,PRODUCTION,7491588420,2022-08-03 00:00:00,0.00109811,1,1,1,,,,,,,
69615,PRODUCTION,7491588420,2022-08-04 00:00:00,0.0074427458,1,,,,,,,,,
69615,PRODUCTION,7491588420,2022-08-05 00:00:00,0.0023060311,1,1,1,,,,,,,
69615,PRODUCTION,7491588420,2022-08-08 00:00:00,0.0079429959,2,,,,,,,,,
69615,PRODUCTION,7491588420,2022-08-11 00:00:00,0.0012323235,,,,2,,,,,2,
69615,PRODUCTION,7491588420,2022-08-14 00:00:00,0.0002806281,1,1,1,,,,,,,
69615,PRODUCTION,7491588420,2022-08-15 00:00:00,0.0048926902,2,1,1,,,,,,,
69615,PRODUCTION,7491588420,2022-08-16 00:00:00,0.0097731793,,,,1,,,,,1,
69615,PRODUCTION,7491588420,2022-08-19 00:00:00,0.0015495553,1,,,,,,,,,
69615,PRODUCTION,7491588420,2022-08-22 00:00:00,0.0037579765,2,2,2,3,,,,,3,
69615,PRODUCTION,7491588420,2022-08-25 00:00:00,0.0042826291,1,,,,,,,,,
69615,PRODUCTION,7491588420,2022-08-29 00:00:00,0.0066618675,1,1,,,,,,,,
69615,PRODUCTION,268954819,2022-08-07 00:00:00,0.0001830183,1,1,1,,,,,,,
69615,PRODUCTION,268954819,2022-08-08 00:00:00,0.0054905502,1,,,1,,,,,,
69615,PRODUCTION,268954819,2022-08-09 00:00:00,0.0000610061,1,1,,,,,,,,
69615,PRODUCTION,268954819,2022-08-10 00:00:00,0.0040264034,1,1,,,,,,,,
69615,PRODUCTION,268954819,2022-08-13 00:00:00,0,1,,,,,,,,,
69615,PRODUCTION,268954819,2022-08-14 00:00:00,0.0558938006,2,2,2,,,,,,,
69615,PRODUCTION,268954819,2022-08-16 00:00:00,0.0027208726,1,1,1,,,,,,,
69615,PRODUCTION,268954819,2022-08-25 00:00:00,0.0045388548,,,,,2,,,,,
